layer,category,automatic_index,expert_index,automatic_span,expert_span,automatic_label,expert_label,automatic_text,expert_text,score,raw_feature_differences,normalized_feature_differences,exclusion_reason
EVENT_EVIDENCE,FEATURE_CHANGED,0,0,39:50,39:50,EVENT_IDENTITY,EVENT_IDENTITY,GRB 260610B,GRB 260610B,1.00000000,"{""comment"":{""automatic"":"""",""expert"":""Name of the event""}}","{""comment"":{""automatic"":"""",""expert"":""Name of the event""}}",
EVENT_EVIDENCE,RELABELED,1,1,203:218,203:218,CLASSIFICATION_INTERPRETATION,<unset>,likely LONG GRB,likely LONG GRB,1.00000000,"{""value"":{""automatic"":"""",""expert"":""long GRB""}}","{""value"":{""automatic"":"""",""expert"":""long GRB""}}",
EVENT_EVIDENCE,FEATURE_CHANGED,2,2,224:254,224:254,TRIGGER_TIME,TRIGGER_TIME,23:46:14.25 UT on 10 June 2026,23:46:14.25 UT on 10 June 2026,1.00000000,"{""unit"":{""automatic"":"""",""expert"":""date""}}","{""unit"":{""automatic"":"""",""expert"":""date""}}",
EVENT_EVIDENCE,EXACT_MATCH,3,3,318:329,318:329,EVENT_IDENTITY,EVENT_IDENTITY,GRB 260610B,GRB 260610B,1.00000000,{},{},
EVENT_EVIDENCE,EXACT_MATCH,4,4,407:416,407:416,TRIGGER_INSTRUMENT,TRIGGER_INSTRUMENT,Fermi GBM,Fermi GBM,1.00000000,{},{},
EVENT_EVIDENCE,FEATURE_CHANGED,5,5,434:458,434:458,LOCALIZATION,LOCALIZATION,"RA = 218.66, Dec = 23.94","RA = 218.66, Dec = 23.94",1.00000000,"{""unit"":{""automatic"":"""",""expert"":""J2000 degrees""}}","{""unit"":{""automatic"":"""",""expert"":""J2000 degrees""}}",
EVENT_EVIDENCE,EXACT_MATCH,6,6,534:561,534:561,LOCALIZATION,LOCALIZATION,uncertainty of 2.77 degrees,uncertainty of 2.77 degrees,1.00000000,{},{},
EVENT_EVIDENCE,EXACT_MATCH,7,7,1170:1181,1170:1181,EVENT_IDENTITY,EVENT_IDENTITY,GRB 260610B,GRB 260610B,1.00000000,{},{},
EVENT_EVIDENCE,FEATURE_CHANGED,8,8,1188:1217,1188:1217,COUNTERPART_ASSOCIATION,COUNTERPART_ASSOCIATION,optical counterpart candidate,optical counterpart candidate,1.00000000,"{""comment"":{""automatic"":"""",""expert"":""It means that we can maybe do a follow-up with GRANDMA since this event is optical""},""value"":{""automatic"":"""",""expert"":""optical""}}","{""comment"":{""automatic"":"""",""expert"":""It means that we can maybe do a follow-up with GRANDMA since this event is optical""},""value"":{""automatic"":"""",""expert"":""optical""}}",
EVENT_EVIDENCE,EXPERT_ONLY,,9,,1620:1665,,TRIGGER_INSTRUMENT,,Gravitational-wave Optical Transient Observer,,{},{},
