estado_final,catalog_sheet,catalog_name,skyportal_name_principal,skyportal_aliases_principal,grupos_skyportal_principal,catalog_link_id,inventario_principal,metodo_match_principal,skyportal_tns_name_principal,catalog_ra_deg,catalog_dec_deg,skyportal_ra_deg_principal,skyportal_dec_deg_principal,nota
encontrado_en_union,2022,GRB221110A,GRB221110,,Sitewide Group,,source_inventory_grb_20260609_150940,id_sin_sufijo + coordenadas (95.20 arcsec),,29.09871,-27.29519,29.1194,-27.3142,
encontrado_en_union,2023-2024,GRB 240713A,GRB240713A,GRB240713A,GRANDMA,GRB240713A,source_inventory_grb_20260609_150940,skyportal_link,,352.59,1.88,352.59,1.88,
encontrado_en_union,2023-2024,GRB 240715A,GRB240715A,,GRANDMA,GRB240715A,source_inventory_grb_20260609_150940,skyportal_link,,5.271,-36.521,8.4,-29.4,
encontrado_en_union,2023-2024,GRB 240809A,GRB240809,,Sitewide Group | GRANDMA,GRB240809,source_inventory_grb_20260609_150940,skyportal_link,,237.54399,-2.31789,237.5511,-2.3211,
encontrado_en_union,2023-2024,GRB 240824A,GRB240824,,Sitewide Group,GRB240824,source_inventory_grb_20260609_150940,skyportal_link,,213.176,63.735,213.2032,63.737,
encontrado_en_union,2023-2024,GRB 240905E,GRB240905,,Sitewide Group,GRB240905,source_inventory_grb_20260609_150940,skyportal_link,,345.8021,35.5227,345.8021,35.5227,
encontrado_en_union,2023-2024,GRB 240911A,GRB240911A,,GRANDMA,GRB240911A,source_inventory_grb_20260609_150940,skyportal_link,,351.3,21.33,351.3,21.33,
encontrado_en_union,2023-2024,GRB 240912A,GRB240912,,Sitewide Group | GRANDMA,GRB240912,source_inventory_grb_20260609_150940,skyportal_link,,124.625,33.999,124.63469,33.99901,
encontrado_en_union,2023-2024,GRB 241001A,GRB241001A,XRF 241001A,GRANDMA | GRANDMA/Kilonova-Catcher,GRB241001A,source_inventory_grb_20260609_150940,skyportal_link,,20.424,-43.534,20.55296,-43.35883,
encontrado_en_union,2023-2024,GRB 241002C,GRB241002C,,GRANDMA,GRB241002C,source_inventory_grb_20260609_150940,skyportal_link,,62.41,-7.896,62.45,-7.91,
encontrado_en_union,2023-2024,GRB231115A,INTEGRAL-GRB231115A,GRB231115A,GRANDMA,INTEGRAL-GRB231115A,source_inventory_grb_20260609_150940,skyportal_link,,149.000901,69.68013,149.000901,69.68013,
encontrado_en_union,2023-2024,GRB241006A,GRB-241006_215158,,Sitewide Group | GRANDMA,GRB-241006_215158,source_inventory_grb_20260609_150940,skyportal_link,,304.782,-40.806,304.7429,-40.8051,
encontrado_en_union,2023-2024,GRB241009A,GRB241009A,,GRANDMA,GRB241009A,source_inventory_grb_20260609_150940,skyportal_link,,325.00866,-35.65944,299.101,-17.37,
encontrado_en_union,2023-2024,GRB241018A,GRB241018A,,GRANDMA,GRB241018A,source_inventory_grb_20260609_150940,skyportal_link,,67.9693,42.997,67.99725,43.020083,
encontrado_en_union,2023-2024,GRB241025A,GRB-241025_013651,GRB 241025A,Sitewide Group | GRANDMA,GRB-241025_013651,source_inventory_grb_20260609_150940,skyportal_link,,333.65769,83.57588,333.65379,83.57565,
encontrado_en_union,2023-2024,GRB241026A,GRB241026,GRB 241026A,Sitewide Group | GRANDMA,GRB241026,source_inventory_grb_20260609_150940,skyportal_link,,293.425,57.996,293.40025,57.9858444,
encontrado_en_union,2023-2024,GRB241029A,GRB241029A,,GRANDMA,GRB241029A,source_inventory_grb_20260609_150940,skyportal_link,,325.3343,5.0814,325.327,5.086,
encontrado_en_union,2023-2024,GRB241030A,GRB241030,GRB241030A,Sitewide Group | GRANDMA,,source_inventory_grb_20260609_150940,alias,AT 2024zuk,343.216,80.438,343.13987,80.44996,
encontrado_en_union,2023-2024,GRB241127A,GRB241127,,Sitewide Group | GRANDMA,GRB241127,source_inventory_grb_20260609_150940,skyportal_link,AT 2024acpi,327.911,-56.652,327.911,-56.652,
encontrado_en_union,2023-2024,GRB241128A,GRB241128A,,GRANDMA,GRB241128A,source_inventory_grb_20260609_150940,skyportal_link,,273.724,33.492,273.72356,33.492,
encontrado_en_union,2023-2024,GRB241209A,GRB241209A,,GRANDMA,GRB241209A,source_inventory_grb_20260609_150940,skyportal_link,,155.39648,6.32872,194.63185,76.17637,
encontrado_en_union,2023-2024,GRB241209B,GRB241209B,,GRANDMA,GRB241209B,source_inventory_grb_20260609_150940,skyportal_link,,194.63185,76.17637,194.63406,76.17617,
encontrado_en_union,2023-2024,GRB241213A,GRB241213,,Sitewide Group,GRB241213,source_inventory_grb_20260609_150940,skyportal_link,,116.163,35.269,116.1479,35.2804,
encontrado_en_union,2023-2024,GRB241217A,GRB241217A_SVOM,,GRANDMA,GRB241217A_SVOM,source_inventory_grb_20260609_150940,skyportal_link,,84.1511,-25.2968,84.14999999999999,-25.2925,
encontrado_en_union,2023-2024,GRB241229B,GRB241229,,Sitewide Group | GRANDMA,GRB241229,source_inventory_grb_20260609_150940,skyportal_link,,274.1803,74.6851,274.1491,74.7138,
encontrado_en_union,2025,GRB 250226A,GRB250226A,EP250226a,GRANDMA,,source_inventory_grb_20260609_150940,catalog_name_exact,AT 2025dbz,224.2651,20.9756,224.26512499999998,20.975641666666665,
encontrado_en_union,2025,GRB 250424A,GRB-250424_065229,GRB 250424A,Sitewide Group | GRANDMA,,source_inventory_grb_20260609_150940,alias,,217.528,-35.025,217.49998,-35.02518,
encontrado_en_union,2025,GRB 250704B,EP-250704_081653,EP250704a | GRB 250704B,Sitewide Group | GRANDMA,,source_inventory_ep_20260528_135202,alias,AT 2025qir,300.87238,12.02301,300.8729,12.0232,
encontrado_en_union,2025,GRB 250706B,GCN-250706_170544,GRB 250706B | GRB 250706C,Sitewide Group | GRANDMA,,source_inventory_gcn_20260528_135155,alias,,41.2296,-50.0604,41.23097,-50.06116,
encontrado_en_union,2025,GRB250114A,GRB250114,,Sitewide Group | GRANDMA,GRB250114,source_inventory_grb_20260609_150940,skyportal_link,,166.572,-15.129,166.57679,-15.11159,
encontrado_en_union,2025,GRB250129A,GRB250129,,Sitewide Group,,source_inventory_grb_20260609_150940,id_sin_sufijo + coordenadas (75.29 arcsec),,198.708,5.029,198.6894,5.0387,Tambien aparece en grandma_base como 2025aji (alias)
encontrado_en_union,2025,GRB250215A,GRB_250215A,,GRANDMA,GRB_250215A,source_inventory_grb_20260609_150940,skyportal_link,,157.6,-34.5,156.33116666666666,-27.698333333333334,
encontrado_en_union,2025,GRB250221A,GRB250221A,,GRANDMA,GRB250221A,source_inventory_grb_20260609_150940,skyportal_link,,59.476667,-15.136611,59.4766667,-15.136611,
encontrado_en_union,2025,GRB250317B,GRB250317B,,GRANDMA,GRB250317B,source_inventory_grb_20260609_150940,skyportal_link,,211.64367,40.07953,211.64367,40.07953,
encontrado_en_union,2025,GRB250321A,GRB250321A,,GRANDMA,GRB250321A,source_inventory_grb_20260609_150940,skyportal_link,,295.1,21.055,299.0,17.1,
encontrado_en_union,2025,GRB250322A,GRB250322A,,GRANDMA,GRB250322A,source_inventory_grb_20260609_150940,skyportal_link,,106.76025,7.19285,106.76025,7.19285,
encontrado_en_union,2025,GRB250403A,GRB-250403_151521,,Sitewide Group | GRANDMA,GRB-250403_151521,source_inventory_grb_20260609_150940,skyportal_link,,194.6157,-24.3795,194.6157,-24.3795,
